Geographical_Region,type,Class
Geographical_Region,label,Geographical region
Geographical_Region,subClassOf,Region
Plains,type,Class
Plains,label,Plains
Plains,subClassOf,Environmental_Region
Plains,disjointWith,Coastal
Plains,disjointWith,Hills
Plains,disjointWith,Mountains
Plains,disjointWith,OffShore
Plains,disjointWith,OnShip
Plains,disjointWith,Space
Project,type,Class
Project,subClassOf,_:b7
PGLibrary,type,Class
PGLibrary,subClassOf,Library
Subtropical,type,Class
Subtropical,label,Subtropical
Subtropical,subClassOf,Climatic_Region
Subtropical,disjointWith,Arctic
Subtropical,disjointWith,Desert
Subtropical,disjointWith,Mild
Subtropical,disjointWith,Tropical
Journal,type,Class
Journal,subClassOf,Publication
_:b1,type,Restriction
_:b1,onProperty,hasStartDate
_:b1,cardinality,1
hasEndDate,type,DatatypeProperty
hasEndDate,domain,Event
hasEndDate,range,dateTime
hasOfficialLanguage,type,ObjectProperty
hasOfficialLanguage,domain,Administrative_Region
hasOfficialLanguage,range,Language
hasOfficialLanguage,inverseOf,isOfficialLanguageOf
isOfficialLanguageOf,type,ObjectProperty
isOfficialLanguageOf,domain,Language
isOfficialLanguageOf,range,Administrative_Region
isOfficialLanguageOf,inverseOf,hasOfficialLanguage
OnShip,type,Class
OnShip,label,OnShip
OnShip,subClassOf,Environmental_Region
OnShip,disjointWith,Coastal
OnShip,disjointWith,Hills
OnShip,disjointWith,Mountains
OnShip,disjointWith,OffShore
OnShip,disjointWith,Plains
OnShip,disjointWith,Space
proceedingsTitle,type,DatatypeProperty
dateOfLastModification,type,DatatypeProperty
PGCourse,type,Class
PGCourse,subClassOf,Course
Department,type,Class
Department,subClassOf,College
Publication,type,Class
Publication,subClassOf,_:b8
Publication,subClassOf,_:b0
PhD,type,Class
PhD,subClassOf,Course
applicationAreas,type,DatatypeProperty
