s,p,o
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thailand,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Country
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Money2,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Renminbi
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#PM,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Person
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Language5,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Nepali
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP9,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP9,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,"3,279.89 USD"
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thing
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government7,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Islamic republic
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
